year,track,portSize,ratio,port,set
2014,free,7,0.9221048567845428,"('Chuffed', 'Gecode', 'Opturion_CPX', 'OR_Tools', 'iZplus', 'HaifaCSP', 'Picat_SAT')",all
2014,free,8,0.9534100896249076,"('Chuffed', 'Gecode', 'Opturion_CPX', 'OR_Tools', 'iZplus', 'HaifaCSP', 'Picat_SAT', 'Mistral')",all
2014,free,9,0.972779204444074,"('Chuffed', 'Gecode', 'Opturion_CPX', 'OR_Tools', 'G12_LazyFD', 'iZplus', 'HaifaCSP', 'Picat_SAT', 'Mistral')",all
2014,free,10,0.9912730941040286,"('Chuffed', 'Gecode', 'Opturion_CPX', 'OR_Tools', 'G12_LazyFD', 'iZplus', 'HaifaCSP', 'Picat_SAT', 'Mistral', 'Choco')",all
2014,free,11,0.9916016796640672,"('Chuffed', 'Gecode', 'Opturion_CPX', 'OR_Tools', 'G12_LazyFD', 'iZplus', 'HaifaCSP', 'Picat_SAT', 'Mistral', 'SICStus_Prolog', 'Choco')",all
2015,free,1,0.2499058547213903,"('chuffed',)",all
2015,free,2,0.4040809881848169,"('chuffed', 'MZN_CPLEX')",all
2015,free,3,0.4971112226970043,"('chuffed', 'iZplus', 'MZN_CPLEX')",all
2015,free,4,0.5881391867879673,"('OscaR_CBLS', 'chuffed', 'iZplus', 'MZN_CPLEX')",all
2015,free,5,0.6586681633881251,"('OscaR_CBLS', 'chuffed', 'iZplus', 'Picat_SAT', 'MZN_CPLEX')",all
2015,free,6,0.7270413317885952,"('OscaR_CBLS', 'chuffed', 'OR_Tools', 'iZplus', 'Picat_SAT', 'MZN_CPLEX')",all
2015,free,7,0.7911050635542657,"('OscaR_CBLS', 'chuffed', 'OR_Tools', 'Mistral', 'iZplus', 'Picat_SAT', 'MZN_CPLEX')",all
2015,free,8,0.846701724051219,"('OscaR_CBLS', 'chuffed', 'OR_Tools', 'Mistral', 'iZplus', 'Picat_SAT', 'Choco', 'MZN_CPLEX')",all
2015,free,9,0.8884591142310205,"('OscaR_CBLS', 'chuffed', 'OR_Tools', 'Opturion_CPX', 'Mistral', 'iZplus', 'Picat_SAT', 'Choco', 'MZN_CPLEX')",all
2015,free,10,0.9251826364158572,"('OscaR_CBLS', 'chuffed', 'OR_Tools', 'Opturion_CPX', 'Mistral', 'iZplus', 'Picat_SAT', 'Choco', 'YACS', 'MZN_CPLEX')",all
2015,free,11,0.9619456392438296,"('OscaR_CBLS', 'chuffed', 'OR_Tools', 'Opturion_CPX', 'Mistral', 'JaCoP', 'iZplus', 'Picat_SAT', 'Choco', 'YACS', 'MZN_CPLEX')",all
