year,track,problem,instance,solver1,solver2,score1,score2
2015,free,zephyrus,zephyrus_5_20,OscaR_CBLS,JaCoP,0.0,1.0
2015,free,zephyrus,zephyrus_5_4,OscaR_CBLS,JaCoP,0.0,1.0
2015,free,zephyrus,zephyrus_FH_2_15,OscaR_CBLS,JaCoP,0.0,1.0
2015,free,costas_array,16,OscaR_CBLS,chuffed,0.6353545394300861,0.3646454605699138
2015,free,costas_array,17,OscaR_CBLS,chuffed,1.0,0.0
2015,free,costas_array,18,OscaR_CBLS,chuffed,0.0,1.0
2015,free,costas_array,19,OscaR_CBLS,chuffed,0.0,1.0
2015,free,cvrp,A_n37_k5_dot_vrp,OscaR_CBLS,chuffed,0.0,1.0
2015,free,cvrp,A_n64_k9_dot_vrp,OscaR_CBLS,chuffed,0.0,1.0
2015,free,cvrp,B_n45_k5_dot_vrp,OscaR_CBLS,chuffed,0.0,1.0
2015,free,cvrp,P_n16_k8_dot_vrp,OscaR_CBLS,chuffed,0.0,1.0
2015,free,cvrp,simple2,OscaR_CBLS,chuffed,0.0,1.0
2015,free,freepizza,pizza27,OscaR_CBLS,chuffed,0.0,1.0
2015,free,freepizza,pizza39,OscaR_CBLS,chuffed,0.0,1.0
2015,free,freepizza,pizza45,OscaR_CBLS,chuffed,0.0,1.0
2015,free,freepizza,pizza6,OscaR_CBLS,chuffed,0.0,1.0
2015,free,freepizza,pizza78,OscaR_CBLS,chuffed,0.0,1.0
2015,free,gfd_schedule,n120f5d50m50k20,OscaR_CBLS,chuffed,0.0016493466761408494,0.9983506533238592
2015,free,gfd_schedule,n180f7d50m30k18,OscaR_CBLS,chuffed,0.008059384347133804,0.9919406156528662
2015,free,gfd_schedule,n30f3d30m7k4,OscaR_CBLS,chuffed,0.009743059148128988,0.9902569408518711
2015,free,gfd_schedule,n50f7d40m10k4,OscaR_CBLS,chuffed,0.015621431507787881,0.9843785684922122
2015,free,gfd_schedule,n75f5d30m20k20,OscaR_CBLS,chuffed,0.0,1.0
2015,free,grid_colouring,10_5,OscaR_CBLS,chuffed,0.0,1.0
2015,free,grid_colouring,13_11,OscaR_CBLS,chuffed,0.5,0.5
2015,free,grid_colouring,19_17,OscaR_CBLS,chuffed,1.0,0.0
2015,free,grid_colouring,4_11,OscaR_CBLS,chuffed,0.0,1.0
2015,free,grid_colouring,4_8,OscaR_CBLS,chuffed,0.0,1.0
2015,free,is,1YHXeG1xYs,OscaR_CBLS,chuffed,0.0,1.0
2015,free,is,A3PZaPjnUz,OscaR_CBLS,chuffed,0.0,1.0
2015,free,is,HgSWGJHxY5,OscaR_CBLS,chuffed,0.0,1.0
2015,free,is,jZ9pQqRxJ2,OscaR_CBLS,chuffed,0.0,1.0
2015,free,is,y21PnVA2Hj,OscaR_CBLS,chuffed,0.0,1.0
2015,free,largescheduling,instance_0100_1,OscaR_CBLS,chuffed,0.0,1.0
2015,free,largescheduling,instance_0400_2,OscaR_CBLS,chuffed,0.0,1.0
2015,free,largescheduling,instance_0800_1,OscaR_CBLS,chuffed,0.0,1.0
2015,free,largescheduling,instance_1600_2,OscaR_CBLS,chuffed,0.0,1.0
2015,free,largescheduling,instance_3200_3,OscaR_CBLS,chuffed,0.0,1.0
2015,free,mapping,full2x2,OscaR_CBLS,chuffed,0.0,1.0
