solver,bordaScoreAll,bordaRankAll,bordaScore,bordaRank,shapleyValue,shapleyRank,year,track
oscarcbls,4.677158429690781,11.0,4.897649799358416,10.0,2.5245190222270213,8.0,2020,free
picatsat,11.377063948652994,2.0,12.119767865963963,2.0,4.972535630815221,5.0,2020,free
sicstus,7.57786704573434,8.0,8.089359530049054,7.0,5.327976697547091,4.0,2020,free
yuck,6.595172321004151,9.0,6.894637080973772,9.0,1.5716514815045812,9.0,2020,free
choco_solver_4_10_7,9.47917286428013,4.0,10.770322932997423,4.0,4.816126405428866,7.0,2021,free
coin_or_cbc,7.429432319264639,7.0,8.190709364435062,7.0,5.012788177122052,5.0,2021,free
flatzingo,7.13616771288594,9.0,7.785612026949552,8.0,1.6898442678838839,9.0,2021,free
fzn_oscar_cbls,4.656406171190871,11.0,,,,,2021,free
izplus,10.699876996329634,3.0,12.28947056942723,3.0,4.889438825946643,6.0,2021,free
jacop,7.516051561079803,6.0,8.399718643096541,6.0,5.081988068538766,4.0,2021,free
mistral_2_0,8.720641512830852,5.0,9.728202965527029,5.0,1.9288848681577608,8.0,2021,free
or_tools_cp_sat,15.004679092312228,1.0,18.08251120800693,1.0,49.316829996766174,1.0,2021,free
picatsat,11.8460608483467,2.0,13.839002236341676,2.0,12.03497008887301,2.0,2021,free
sicstus_prolog,7.18006608713512,8.0,,,,,2021,free
yuck,6.331444834344087,10.0,6.914450053218553,9.0,11.187531944116627,3.0,2021,free
